visitor,Opponent,Date,game_id,season,game_net_rating,win_percent_diff,games_played,net_rating_diff,score_diff,wins_vis,loss_vis,hollow_wind60_cent,hollow_wind50_cent,hollow_wind40_cent,hollow_wind30_cent,hollow_wind20_cent,wind_10_center,wind_40_hollow,wind_35_hollow,wind_30_hollow,wind_25_hollow,wind_20_hollow,wind_15_hollow,wind_10_hollow_5,wind_5_hollow,wind_7_hollow,wind_10_hollow,wind_2,wind_5,wind_7,wind_10,wind_15,wind_20,wind_25,wind_30,wind_35,wind_40
Cleveland Cavaliers,Phoenix Suns,2015-01-13,21400570,2014-15,-5.2,-0.05,39,5.9,-7,19,20,-35.5,84.3,154.3,40.5,12.8,-7.6,-7.70000000000001,49.2,-58.7,55.5,62.7,-28.6,-64.4,-59.1,-24.9,-39.5,-21.1,-80.2,-105.1,-144.6,-173.2,-110.5,-55,-113.7,-64.5,-72.2
Dallas Mavericks,Sacramento Kings,2015-01-13,21400572,2014-15,2.8,0.251778093883357,39,6.9,4,27,12,185.3,20.7,33.8,89.2,169.3,85.8,30.4,-14.3,137.8,11.6,15.5,50.6,80.5,47.1,64.1,16.4,-43.2,3.9,68,84.4,135,150.5,162.1,299.9,285.6,316
Golden State Warriors,Utah Jazz,2015-01-13,21400571,2014-15,11.5,0.510835913312693,35,9.8,11,30,5,68.2999999999999,136.9,51.2,68.2,43.3,176.4,1.7,102.2,34.8,122.3,91,39,-12,49.8,-5.5,-6.50000000000001,54,103.8,98.3,91.8,130.8,221.8,344.1,378.9,481.1,482.8
Miami Heat,Los Angeles Lakers,2015-01-13,21400573,2014-15,3.2,0.116642958748222,38,4.1,3,17,21,74,10.1,-46.7,37.1,51.6,26.3,81.8,19.4,28.3,-29.3,-30.7,-24,46.3,-18.5,-13.2,59.5,-8.5,-27,-40.2,19.3,-4.7,-35.4,-64.7,-36.4,-17,64.8
Minnesota Timberwolves,Indiana Pacers,2015-01-13,21400567,2014-15,10.3,-0.245726495726496,37,-9.3,9,6,31,-69.5,-132.5,-32.9,-120.6,-129.8,-67.3,4.69999999999999,-16.1,-67.7,-42,9.10000000000002,-86.2,-77.3,-9.8,-26.7,-50.6,-32.4,-42.2,-68.9,-119.5,-205.7,-196.6,-238.6,-306.3,-322.4,-317.7
San Antonio Spurs,Washington Wizards,2015-01-13,21400569,2014-15,-8.5,-0.0704125177809388,39,5.7,-8,23,16,16.6,97.5,90.7,-44.5,27.7,48.2,2.59999999999999,2.69999999999999,33.1,28.4,4.9,-31.6,-1.9,7,31.1,-33,40,47,78.1,45.1,13.5,18.4,46.8,79.9,82.6,85.2
Atlanta Hawks,Boston Celtics,2015-01-14,21400580,2014-15,15.2,0.428362573099415,39,5.6,14,31,8,-41.3,164.5,39.1,43.4,37.7,181.4,-12.6,47.2,-13.4,118.5,47.2,26.9,11.9,24.3,36.4,-24.5,58.9,83.2,119.6,95.1,122,169.2,287.7,274.3,321.5,308.9
Dallas Mavericks,Denver Nuggets,2015-01-14,21400581,2014-15,-6.9,0.232848232848233,40,6.5,-7,27,13,-13.2,-47.3,125.8,78.5,168.6,53.9,28.3,121.7,35.8,-26.5,31.4,42.8,102.6,-20.1,68.8,33.8,-33.3,-53.4,15.4,49.2,92,123.4,96.9,132.7,254.4,282.7
Houston Rockets,Orlando Magic,2015-01-14,21400575,2014-15,-5.7,0.369062901155327,39,9.3,-7,27,12,61.1,124.5,67.5,23.2,124.1,134.8,62.8,47,22,79.8,0.599999999999994,51.1,48.7,57.3,34.3,14.4,31.8,89.1,123.4,137.8,188.9,189.5,269.3,291.3,338.3,401.1
Los Angeles Clippers,Portland Trail Blazers,2015-01-14,21400583,2014-15,5.1,-0.131578947368421,39,2.6,6,26,13,4.5,43.1,20.9,-89.2,23.7,117,7,-54.7,-33.2,78.5,9.2,-51.4,-14.5,38.2,0.600000000000001,-15.1,-14.1,24.1,24.7,9.60000000000001,-41.8,-32.6,45.9,12.7,-42,-35
Memphis Grizzlies,Brooklyn Nets,2015-01-14,21400576,2014-15,14.8,0.281650071123755,38,6.5,11,27,11,86.2,127.9,22.1,23.8,76.7,120,-20.3,27.1,78.3,90.3,22.5,3.4,12.5,5.7,13.4,-0.900000000000002,22.3,28,41.4,40.5,43.9,66.4,156.7,235,262.1,241.8
Miami Heat,Golden State Warriors,2015-01-14,21400582,2014-15,-17.5,-0.409774436090226,39,-12.9,-15,17,22,-81.2,-134.9,-127,-84.1,-140.2,-197.7,36.4,-82.1,-40.5,-104,-125.4,-43,-61.9,-112.5,-63.4,1.50000000000002,-12.1,-124.6,-188,-186.5,-229.5,-354.9,-458.9,-499.4,-581.5,-545.1
New Orleans Pelicans,Detroit Pistons,2015-01-14,21400577,2014-15,12.2,0.118065433854908,38,1.9,11,19,19,98,40.1,47.1,-41.3,-61.1,4.9,42.2,12,61.4,12.2,39.3,32.5,-103.9,7.2,-33,-70.9,-3.6,3.6,-29.4,-100.3,-67.8,-28.5,-16.3,45.1,57.1,99.3
Philadelphia 76ers,Toronto Raptors,2015-01-14,21400578,2014-15,-16.8,-0.486486486486486,38,-12.1,-16,7,31,-188.7,-81.7,-46.2,-96.7,-220.9,-27.4,-47,-136.4,-173.4,-56.2,-39.5,-93,-151.1,32,-62.3,-88.8,-27.4,4.6,-57.7,-146.5,-239.5,-279,-335.2,-508.6,-645,-692
San Antonio Spurs,Charlotte Hornets,2015-01-14,21400574,2014-15,6.4,0.205128205128205,40,9.7,5,24,16,189.3,219.4,71.6,-54.4,60.5,-3.7,-4.99999999999999,28.7,139.3,115.8,76.3,-95,54.2,-6.20000000000001,22.9,31.3,-30.6,-36.8,-13.9,17.4,-77.6,-1.3,114.5,253.8,282.5,277.5
Washington Wizards,Chicago Bulls,2015-01-14,21400579,2014-15,5.3,0.0175438596491229,39,-2.4,6,27,12,59.1,77.2,-122.2,-72.5,-8.50000000000001,26.2,-26.8,-15.9,47.4,25.9,-27.6,-45.5,-34.6,60.8,-24.7,-9.9,-26.2,34.6,9.9,0,-45.5,-73.1,-47.2,0.200000000000003,-15.7,-42.5
Cleveland Cavaliers,Los Angeles Lakers,2015-01-15,21400586,2014-15,7.8,0.179487179487179,40,11.9,7,20,20,147.4,125.2,69.4,158.4,30.8,122.5,53.1,50,82.5,64.7,-4.59999999999999,83.6,-53.1,-22.9,-11.5,-41.6,-9.2,-32.1,-43.6,-85.2,-1.60000000000001,-6.2,58.5,141,191,244.1
New York Knicks,Milwaukee Bucks,2015-01-15,21400585,2014-15,-17.2,-0.387820512820513,41,-10.7,-16,5,36,22.5,-140.9,-53.3,-143.3,-201.8,-129.6,-46.9,-13.5,35,-81.5,-18.1,-40.8,-128.9,-75.4,-52.6,-76.3,-61.8,-137.2,-189.8,-266.1,-306.9,-325,-406.5,-371.5,-385,-431.9
Oklahoma City Thunder,Houston Rockets,2015-01-15,21400584,2014-15,-12.8,-0.205821205821206,38,-1.3,-11,18,20,-12,13.6,58.6,121.1,-30.3,-47.5,-77.8,-68.1,-0.199999999999989,4.09999999999999,17.5,52.8,1.4,-66.7,-10.2,11.6,-23.8,-90.5,-100.7,-89.1,-36.3,-18.8,-14.7,-14.9,-83,-160.8
Atlanta Hawks,Toronto Raptors,2015-01-16,21400592,2014-15,24.4,0.110661268556005,40,2.8,21,32,8,-95.4,126,144.5,-85.2,23.4,130.6,-13.4,-71.8,-72,76.8,35.1,-44.2,40.7,59.5,40.4,0.299999999999997,18.3,77.8,118.2,118.5,74.3,109.4,186.2,114.2,42.4,29
Brooklyn Nets,Washington Wizards,2015-01-16,21400590,2014-15,23,-0.282051282051282,40,-3.6,22,17,23,-29.8,-176.6,-6.7,-10.3,50.1,-191,5.70000000000001,-7.40000000000001,-8.69999999999999,-126,-33,-22.7,49.8,-8.3,-11.6,61.4,-44.2,-52.5,-64.1,-2.7,-25.4,-58.4,-184.4,-193.1,-200.5,-194.8
Chicago Bulls,Boston Celtics,2015-01-16,21400591,2014-15,17,0.298648648648649,41,2.7,16,27,14,-20.5,-14.3,54.9,92.7,49.5,-36.7,38.1,21.2,-3.39999999999999,28.4,49,50,25.4,-24.6,25.4,0,-4.3,-28.9,-3.5,-3.5,46.5,95.5,123.9,120.5,141.7,179.8
Cleveland Cavaliers,Los Angeles Clippers,2015-01-16,21400599,2014-15,6.1,-0.166666666666667,41,-2.1,5,21,20,20.8,-9.60000000000002,-71,81.2,-58.7,-70.1,-22.3,50.6,-12.2,-64.7,-48.2,22.6,-105.1,-88.7,-82.5,-22.6,12.1,-76.6,-159.1,-181.7,-159.1,-207.3,-272,-284.2,-233.6,-255.9
Denver Nuggets,Dallas Mavericks,2015-01-16,21400594,2014-15,-7.2,-0.201315789473684,39,-6.5,-8,18,21,-41.7,84.8,-134.5,-96.2,-183.3,19.4,-9.49999999999999,-131.4,-23,2.69999999999999,-34.9,-61,-101.9,68.8,-49.6,-52.3,21.3,90.1,40.5,-11.8,-72.8,-107.7,-105,-128,-259.4,-268.9
Detroit Pistons,Indiana Pacers,2015-01-16,21400587,2014-15,2.2,-0.016025641025641,40,-1.3,2,15,25,19.6,-102.8,-44.1,-54.4,30.9,60.8,-15.1,6.50000000000001,-42.7,-30.4,12.9,-41.7,46.9,25.3,16.8,30.1,1,26.3,43.1,73.2,31.5,44.4,14,-28.7,-22.2,-37.3
Golden State Warriors,Oklahoma City Thunder,2015-01-16,21400593,2014-15,-10.5,0.387426900584795,37,7.8,-12,31,6,96.3,76.4,-4.49999999999999,-46.4,62.3,222.9,28.4,89.3,78.2,28.6,10.7,-8.29999999999999,22.4,94,63.8,-41.4,36.5,130.5,194.3,152.9,144.6,155.3,183.9,262.1,351.4,379.8
Los Angeles Lakers,Utah Jazz,2015-01-16,21400597,2014-15,-10.1,-0.0333333333333333,41,-7.2,-9,12,29,-43.9,-13,-55.4,-94.5,-63.3,-74.1,-66.4,13.8,-16,43,-2.60000000000001,-30.8,-39.8,-34.3,-11.9,-27.9,14.8,-19.5,-31.4,-59.3,-90.1,-92.7,-49.7,-65.7,-51.9,-118.3
Memphis Grizzlies,Orlando Magic,2015-01-16,21400588,2014-15,9.2,0.353383458646617,39,9.4,10,28,11,183.7,139.9,34.5,16.5,127.3,124,30.5,2.59999999999998,131.6,72.5,49.2,18.2,7.7,34.1,-14.6,22.3,11,45.1,30.5,52.8,71,120.2,192.7,324.3,326.9,357.4
Miami Heat,Sacramento Kings,2015-01-16,21400598,2014-15,12.6,0.0148448043184886,40,0.7,12,18,22,-6.99999999999997,-13.4,-35.2,77.8,0.799999999999983,33.6,19,-12.4,-23.3,-40.6,-52.3,25.8,-19.7,10,-30.5,10.8,-30.1,-20.1,-50.6,-39.8,-14,-66.3,-106.9,-130.2,-142.6,-123.6
Minnesota Timberwolves,Phoenix Suns,2015-01-16,21400596,2014-15,-14.6,-0.398813447593935,38,-8,-11,6,32,-225.4,-71.9,12.4,-87.6,-78.1,-97.7,33.1,-29.1,-145.2,-59.4,-14.7,-108.2,-73.4,-26.2,-48.5,-24.9,-0.2,-26.4,-74.9,-99.8,-208,-222.7,-282.1,-427.3,-456.4,-423.3
New Orleans Pelicans,Philadelphia 76ers,2015-01-16,21400589,2014-15,-17.1,0.315789473684211,39,9.8,-15,19,20,31.8,-7.20000000000001,153,-34,179,163.9,46.2,161.7,44.2,-34.7,73.4,24.3,132.9,13.7,59,73.9,42,55.7,114.7,188.6,212.9,286.3,251.6,295.8,457.5,503.7
Portland Trail Blazers,San Antonio Spurs,2015-01-16,21400595,2014-15,-14.7,0.169230769230769,40,-2,-14,30,10,-104.2,-48.9,8.30000000000001,60.9,34.7,-9,40.2,-1.10000000000001,-0.199999999999996,-38.5,9.79999999999998,67.1,39.2,12.3,-17.5,56.7,8.4,20.7,3.2,59.9,127,136.8,98.3,98.1,97,137.2
Atlanta Hawks,Chicago Bulls,2015-01-17,21400602,2014-15,8.6,0.141463414634146,41,2.9,8,33,8,28.8,101.1,84.1,-121.3,57.2,160.9,-7.99999999999999,-30.3,73.8,33.7,26.9,-62.7,59.8,72.8,31.2,28.6,27.9,100.7,131.9,160.5,97.8,124.7,158.4,232.2,201.9,193.9
Golden State Warriors,Houston Rockets,2015-01-17,21400603,2014-15,23.6,0.137837837837838,38,6.5,25,32,6,124.9,92.2,94.7,13.4,89.6,51.3,-36,-19,87.1,38.5,73.2,1.2,46.5,-8.5,41.8,4.7,-0.0999999999999996,-8.6,33.2,37.9,39.1,112.3,150.8,237.9,218.9,182.9
Indiana Pacers,Charlotte Hornets,2015-01-17,21400600,2014-15,-8.7,-0.00914634146341464,42,3.6,-9,15,27,50.4,60.8,47,38,62.8,-100,-21.5,31.8,64.2,-3.09999999999999,28.7,-23.2,52.6,-34.6,-1.5,54.1,-36.1,-70.7,-72.2,-18.1,-41.3,-12.6,-15.7,48.5,80.3,58.8
Los Angeles Clippers,Sacramento Kings,2015-01-17,21400607,2014-15,6.9,0.23974358974359,41,10.6,9,27,14,39.3,166.9,80.7,108.9,120,162,-4.50000000000004,14.5,18.3,137.9,32.7,38.5,80.6,4.6,42.9,37.7,14.4,19,61.9,99.6,138.1,170.8,308.7,327,341.5,337
Minnesota Timberwolves,Denver Nuggets,2015-01-17,21400606,2014-15,8.4,-0.303643724696356,39,-5.8,8,7,32,-145.8,-114.3,18.7,13.2,-27.1,-87.5,20.1,-36.5,-110.8,-33.7,-38.8,-30.7,-57.3,-55.7,-51.9,-5.40000000000001,-4,-59.7,-111.6,-117,-147.7,-186.5,-220.2,-331,-367.5,-347.4
Philadelphia 76ers,Detroit Pistons,2015-01-17,21400601,2014-15,-18.9,-0.169871794871795,40,-7.9,-18,8,32,-68.7,65.9,-38.4,-102.2,-172.9,-75,-35.1,-72.2,-31.7,29.3,-17.4,-52.4,-178.1,-17.8,-30.2,-147.9,10.3,-7.5,-37.7,-185.6,-238,-255.4,-226.1,-257.8,-330,-365.1
Portland Trail Blazers,Memphis Grizzlies,2015-01-17,21400604,2014-15,-5.6,0.032051282051282,41,0.8,-4,30,11,-69.3,38.3,41.9,83.9,-32.3,-36.8,17.3,26.6,-10,-3.2,-25.3,66.4,29.1,48.9,4.2,24.9,-43.8,5.1,9.3,34.2,100.6,75.3,72.1,62.1,88.7,106
Washington Wizards,Brooklyn Nets,2015-01-17,21400605,2014-15,12.5,0.25,41,3.6,9,28,13,-41.6,226.3,3.5,-19,-38.7,113.7,-17.4,28,20.6,133.9,11.9,8.8,-26.1,15,35.1,-61.2,-25.9,-10.9,24.2,-37,-28.2,-16.3,117.6,138.2,166.2,148.8
New Orleans Pelicans,Toronto Raptors,2015-01-18,21400608,2014-15,1.1,-0.179487179487179,40,-2.3,2,20,20,-140.1,1.50000000000001,58.9,-149.3,29.5,26.7,-20.5,-15,-106.1,-55,21.4,-69.4,30.9,-3.6,59.8,-28.9,2.7,-0.9,58.9,30,-39.4,-18,-73,-179.1,-194.1,-214.6
Oklahoma City Thunder,Orlando Magic,2015-01-18,21400609,2014-15,24.2,0.138342277877162,40,8,28,20,20,106.3,131.1,164.3,77.6,97.7,20.5,-39,2.70000000000002,24.4,51.2,109.3,13.9,71.7,-19.6,21.8,49.9,1.2,-18.4,3.4,53.3,67.2,176.5,227.7,252.1,254.8,215.8
Utah Jazz,San Antonio Spurs,2015-01-18,21400610,2014-15,-23.1,-0.259756097560976,41,-6.2,-20,14,27,-210.1,-67.5,-71.2,96.4,6.7,-40.5,8.10000000000001,-90.6,-108.8,-91.2,-32.3,56.3,2.1,-9.4,1.1,1,-22.5,-31.9,-30.8,-29.8,26.5,-5.8,-97,-205.8,-296.4,-288.3
Boston Celtics,Los Angeles Clippers,2015-01-19,21400614,2014-15,-8.7,-0.316431322207959,39,-6.6,-9,13,26,-151.1,-41.4,-25.8,-85.2,-39.1,-122.8,-1.2,-42.3,-74.5,-81.5,8,-15.7,-80.8,-21.3,-16.6,-64.2,-33,-54.3,-70.9,-135.1,-150.8,-142.8,-224.3,-298.8,-341.1,-342.3
Chicago Bulls,Cleveland Cavaliers,2015-01-19,21400620,2014-15,-15.7,0.130662020905923,43,-1.8,-14,27,16,-61.3,-92.4,-7.59999999999998,-25.7,17.8,-29.7,17.4,2.8,-61.1,-13.3,45.4,35.7,25.4,36.9,-21.5,46.9,-5.5,31.4,9.9,56.8,92.5,137.9,124.6,63.5,66.3,83.7
Dallas Mavericks,Memphis Grizzlies,2015-01-19,21400616,2014-15,9.9,-0.0420731707317072,42,-0.3,8,29,13,-79.5,-48,19.7,43.8,117.2,-150,-0.799999999999983,82.3,-34.7,-29.2,2.49999999999999,33.4,91.1,-47.2,17.2,73.9,-14.5,-61.7,-44.5,29.4,62.8,65.3,36.1,1.40000000000001,83.7,82.9
Denver Nuggets,Golden State Warriors,2015-01-19,21400615,2014-15,-41.8,-0.392105263157895,41,-13.2,-43,18,23,-138.1,-83.4,-95.5,-97.2,-226.9,-90.6,-75.7,-26.2,-44.9,-78.1,-52.6,-15.2,-91.7,-26.3,0.899999999999991,-92.6,-28.7,-55,-54.1,-146.7,-161.9,-214.5,-292.6,-337.5,-363.7,-439.4
Detroit Pistons,Atlanta Hawks,2015-01-19,21400613,2014-15,-10.7,-0.414634146341463,42,-7,-11,16,26,-38.4,-188.9,-145.5,66,38.8,-187.2,-41.3,-16.4,-86.9,-121.9,-94.4,50.8,13.5,-74,-2.8,16.3,-11.9,-85.9,-88.7,-72.4,-21.6,-116,-237.9,-324.8,-341.2,-382.5
Indiana Pacers,Houston Rockets,2015-01-19,21400617,2014-15,-13.3,-0.325783972125436,43,-3.2,-12,15,28,-46.6,-111.4,81.1,8.40000000000001,-34.1,-50.5,-99.7,31.4,-9.5,-66.4,-15.2,-8,-34.5,-32.8,-50.3,15.8,-0.0999999999999996,-32.9,-83.2,-67.4,-75.4,-90.6,-157,-166.5,-135.1,-234.8
Los Angeles Lakers,Phoenix Suns,2015-01-19,21400622,2014-15,-12.9,-0.278745644599303,42,-6,-15,12,30,-104.9,-44.6,13.9,-88.1,-72.8,-63.4,-12.8,-28.6,-82.3,-48.7,17.5,-81.8,-55.7,16.7,-50,-5.7,-37.7,-21,-71,-76.7,-158.5,-141,-189.7,-272,-300.6,-313.4
Minnesota Timberwolves,Charlotte Hornets,2015-01-19,21400611,2014-15,-26.6,-0.210756722951845,40,-5.7,-25,7,33,-36.5,-52.4999999999999,-31.4,-96.8,-11.5,-98.5,9.10000000000002,-26.9,-1.39999999999997,-41.2,-10.4,-81.1,-14.6,-62,-28.4,13.8,-8.5,-70.5,-98.9,-85.1,-166.2,-176.6,-217.8,-219.2,-246.1,-237
New Orleans Pelicans,New York Knicks,2015-01-19,21400618,2014-15,-7.2,0.378048780487805,41,10.9,-7,20,21,65.0999999999999,100.6,154.9,71.9,103.9,164.5,33.4,50.1,-6.49999999999998,34.2,48.1,19.8,102.2,72,20.4,81.8,31.2,103.2,123.6,205.4,225.2,273.3,307.5,301,351.1,384.5
Philadelphia 76ers,Washington Wizards,2015-01-19,21400612,2014-15,-35.7,-0.482926829268293,41,-9.6,-35,8,33,-3.3,-121.3,-119.5,-28.9,-108.8,-31.5,-71.8,-141.8,-69,-50.1,-99,-53.9,-77.7,-12.9,-41.6,-36.1,8.7,-4.2,-45.8,-81.9,-135.8,-234.8,-284.9,-353.9,-495.7,-567.5
Sacramento Kings,Portland Trail Blazers,2015-01-19,21400621,2014-15,-4.9,-0.331707317073171,41,-8,-4,16,25,31.0000000000001,-148.1,-74.1,-105.9,-157.1,-47.7,1.09999999999999,-74.8,-13.2,-76.7,-32.2,-66.2,-65.9,-10.8,-21.2,-44.7,0.800000000000001,-10,-31.2,-75.9,-142.1,-174.3,-251,-264.2,-339,-337.9
Toronto Raptors,Milwaukee Bucks,2015-01-19,21400619,2014-15,4.3,0.125,41,2.5,3,27,14,155.3,-27.8,22.4,39.3,-93.9,-29.1,34.1,72.6,110,-18.3,37.2,25.4,-65.1,-3.7,-33.1,-32,-34.6,-38.3,-71.4,-103.4,-78,-40.8,-59.1,50.9,123.5,157.6
Oklahoma City Thunder,Miami Heat,2015-01-20,21400623,2014-15,7.5,0.05,41,5.1,8,21,20,0.400000000000006,129.3,112.5,75.1,96.5,12.8,-68.4,10,-30.1,126.6,109.3,1.8,59.9,-26.3,16.3,43.6,39.6,13.3,29.6,73.2,75,184.3,310.9,280.8,290.8,222.4
San Antonio Spurs,Denver Nuggets,2015-01-20,21400624,2014-15,10.4,0.180023228803717,43,9.6,10,27,16,116.8,77.5,75.4,66.2,63.3,103.1,62.3,58.6,5.5,85.4,-24.7,30.5,-25.8,3.2,-8.90000000000001,-16.9,88,91.2,82.3,65.4,95.9,71.2,156.6,162.1,220.7,283
Brooklyn Nets,Sacramento Kings,2015-01-21,21400635,2014-15,2,0.024390243902439,42,0.7,3,18,24,-49,-11.4,6.30000000000003,101.9,38.7,-36.8,17.5,-19.6,-29.1,-35.6,35,33.1,4,-40,-21.1,25.1,22.3,-17.7,-38.8,-13.7,19.4,54.4,18.8,-10.3,-29.9,-12.4
Dallas Mavericks,Minnesota Timberwolves,2015-01-21,21400631,2014-15,27.4,0.51547619047619,43,12.3,23,30,13,89.5,174.7,57.7,55.2,161.8,53.2,10.8,176.2,101.2,98.3,64.7,51.5,110.2,-6.4,14.1,96.1,35.3,28.9,43,139.1,190.6,255.3,353.6,454.8,631,641.8
Houston Rockets,Golden State Warriors,2015-01-21,21400636,2014-15,-12.6,-0.155677655677656,43,-6.5,-13,29,14,-121.8,-101.5,-46,4.70000000000002,-86.7,-95.3,-11.1,-35.4,-54.3,-48.4,-15.8,-15.4,-38,4.2,4.40000000000001,-42.4,-75.7,-71.5,-67.1,-109.5,-124.9,-140.7,-189.1,-243.4,-278.8,-289.9
Indiana Pacers,Atlanta Hawks,2015-01-21,21400628,2014-15,-17.5,-0.460686600221484,44,-5.7,-19,15,29,-47.5,-176,-0.499999999999986,66.2,-50.4,-161.1,-24.5,-12.4,-52.4,-123.1,-47.6,48,-70.1,-73.3,-50,-20.1,-41.3,-114.6,-164.6,-184.7,-136.7,-184.3,-307.4,-359.8,-372.2,-396.7
Los Angeles Lakers,New Orleans Pelicans,2015-01-21,21400632,2014-15,-19.2,-0.202090592334495,43,-7.9,-16,12,31,-56.5,-57.6,-28.4,-9.00000000000001,-58.1,-105.9,-8.99999999999999,-57.5,-43.4,-12.8,-14.7,-9.40000000000001,-40.7,-11.4,-14,-26.7,-16.9,-28.3,-42.3,-69,-78.4,-93.1,-105.9,-149.3,-206.8,-215.8
Miami Heat,Charlotte Hornets,2015-01-21,21400625,2014-15,-2.4,0.0342624854819977,42,0.4,-2,18,24,23.3,-12.2,-28.5,25.6,-59.4,-47.5,26.4,52.7,20,-44.3,-49.5,18.9,-59.3,-30.7,-26.5,-32.8,-30.2,-60.9,-87.4,-120.2,-101.3,-150.8,-195.1,-175.1,-122.4,-96
New York Knicks,Philadelphia 76ers,2015-01-21,21400627,2014-15,6.5,-0.0522648083623694,43,-1.1,7,7,36,-119.5,-22.7,-68.5,39.8,-94,21.7,14.1,115.4,7.30000000000001,-1.79999999999995,3.49999999999994,43,-52.6,-44.2,-42.7,-9.90000000000001,44.6,0.400000000000006,-42.3,-52.2,-9.19999999999999,-5.70000000000005,-7.5,-0.199999999999989,115.2,129.3
Oklahoma City Thunder,Washington Wizards,2015-01-21,21400633,2014-15,2.7,-0.178281068524971,42,1.5,2,22,20,38.9,-50.1,66.3,197.6,-13.6,-28.1,-57.6,-28.1,-37.3,18.2,52.3,38.5,-25.8,12.2,-24.3,-1.5,-16.5,-4.3,-28.6,-30.1,8.4,60.7,78.9,41.6,13.5,-44.1
Orlando Magic,Detroit Pistons,2015-01-21,21400629,2014-15,-9.4,-0.04004329004329,45,-4.8,-10,15,30,-101.8,13.6,-27.7,-45.8,-161.7,-42.6,22.8,24.8,-14.4,27.7,-11.9,-66.9,-90.4,13,-23.5,-66.9,-41.6,-28.6,-52.1,-119,-185.9,-197.8,-170.1,-184.5,-159.7,-136.9
Portland Trail Blazers,Phoenix Suns,2015-01-21,21400634,2014-15,-5.9,0.156699889258029,43,5.4,-5,31,12,58.5,-8.5,135.1,30,55.2,-11.3,36.9,51.4,25.5,-0.499999999999986,49.2,25.7,-8,2.3,22.3,-30.3,-28.2,-25.9,-3.6,-33.9,-8.2,41,40.5,66,117.4,154.3
Toronto Raptors,Memphis Grizzlies,2015-01-21,21400630,2014-15,-5.6,-0.048780487804878,42,-0.4,-6,27,15,-10.1,-37.2,5.7,79.3,-45.2,-73.9,15.7,9.60000000000001,24,-22.9,34.8,45.3,-14,-42.4,23.1,-37.1,7.5,-34.9,-11.8,-48.9,-3.6,31.2,8.3,32.3,41.9,57.6
Utah Jazz,Cleveland Cavaliers,2015-01-21,21400626,2014-15,-12.9,-0.182346109175377,42,-4.7,-14,14,28,-202.7,-87.3,-30.2,21.1,35.2,-97.8,-17.1,-22.3,-108.5,-87.8,-18.3,55.6,85.5,-15.1,51.1,34.4,-34.8,-49.9,1.2,35.6,91.2,72.9,-14.9,-123.4,-145.7,-162.8
Boston Celtics,Portland Trail Blazers,2015-01-22,21400639,2014-15,1.1,-0.387596899224806,40,-4,1,14,26,-81.3,78.8,-107.2,-70.7,-72.7,-13.8,-62.8,-76.7,-63.1,17.4,-33.7,-55.5,-64.1,5.1,-16.3,-47.8,-24.7,-19.6,-35.9,-83.7,-139.2,-172.9,-155.5,-218.6,-295.3,-358.1
Brooklyn Nets,Los Angeles Clippers,2015-01-22,21400640,2014-15,-39.3,-0.238095238095238,43,-9.9,-39,18,25,-191.6,-66.5,-126.3,9.79999999999998,-130.5,-101.6,57,-56.8,-107.1,-75.1,-39.3,13,-130.9,8.2,-56.4,-74.5,-26.1,-17.9,-74.3,-148.8,-135.8,-175.1,-250.2,-357.3,-414.1,-357.1
San Antonio Spurs,Chicago Bulls,2015-01-22,21400637,2014-15,-25.6,0,44,3.3,-23,27,17,39.2,50.9,35.9,-37,14.9,100.6,-11,85.9,24,-17,-50.2,-30.8,50.6,9,29,21.6,57.8,66.8,95.8,117.4,86.6,36.4,19.4,43.4,129.3,118.3
Utah Jazz,Milwaukee Bucks,2015-01-22,21400638,2014-15,-0.2,-0.178861788617886,43,-0.5,2,15,28,-53.8,26.9,95,36.7,-37.4,-103.5,2.89999999999998,-21.3,-43.4,-57.2,42.2,-10.8,-7.09999999999999,-43.5,8.50000000000001,-15.6,-48.9,-92.4,-83.9,-99.5,-110.3,-68.1,-125.3,-168.7,-190,-187.1
Boston Celtics,Denver Nuggets,2015-01-23,21400649,2014-15,1.1,-0.0785714285714286,41,3.6,1,15,26,-100,37.5,15.6,150.7,-25.9,56.5,60.8,-48.9,-88,44.4,43.7,30.7,-70.6,-17.4,-29.2,-41.4,44.6,27.2,-2,-43.4,-12.7,31,75.4,-12.6,-61.5,-0.700000000000003
Charlotte Hornets,Cleveland Cavaliers,2015-01-23,21400643,2014-15,-39.8,-0.116279069767442,44,-8.2,-39,18,26,-177,-156.6,22.2,-36.5,-18.3,-2.90000000000001,-61.5,-48.1,-133.8,-59.1,52,-25,97.1,23.6,48.6,48.5,0.399999999999999,24,72.6,121.1,96.1,148.1,89,-44.8,-92.9,-154.4
Chicago Bulls,Dallas Mavericks,2015-01-23,21400646,2014-15,5.5,-0.0613107822410148,45,-0.2,4,29,16,96.4,36.6,44.8,-44.6,11.3,-75.8,13.1,-158.6,21.3,33.7,20.6,-24.8,-46.1,-1.77635683940025E-15,34.9,-81,-27.4,-27.4,7.5,-73.5,-98.3,-77.7,-44,-22.7,-181.3,-168.2
